id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,year,decade
6JRLFiX9NJSoRRKxowlBYr,Is This Love,76,232200,0,['Bob Marley & The Wailers'],['2QsynagSdAqZj3U9HgDzjD'],1978,0.776,0.559,6,-8.375,0,0.103,0.11,0.0,0.0671,0.758,122.242,4,1978,1970
5KqldkCunQ2rWxruMEtGh0,The Gambler,75,214880,0,['Kenny Rogers'],['4tw2Lmn9tTPUv7Gy7mVPI4'],1978-11-20,0.671,0.501,4,-13.119,1,0.0594,0.342,0.0,0.194,0.86,87.04,4,1978,1970
5EOoMWIB9iK4ZpcSex9Ec7,Old Time Rock & Roll,75,194147,0,['Bob Seger'],['485uL27bPomh29R4JmQehQ'],1978-05-05,0.714,0.937,6,-2.947,1,0.0399,0.206,0.0,0.0731,0.964,124.13,4,1978,1970
7MRyJPksH3G2cXHN8UKYzP,American Girl,75,214733,0,['Tom Petty and the Heartbreakers'],['4tX2TplrkIP4v05BNC903e'],1976-11-09,0.55,0.824,2,-5.988,1,0.0334,0.448,0.000127,0.366,0.777,114.512,4,1976,1970
4rDbp1vnvEhieiccprPMdI,Somebody To Love - Remastered 2011,75,296480,0,['Queen'],['1dfeR4HaWDbWqFHLkxsg1d'],1976-12-10,0.406,0.698,8,-7.024,1,0.0624,0.186,0.0,0.233,0.333,109.266,3,1976,1970
77oU2rjC5XbjQfNe3bD6so,Beast Of Burden - Remastered,75,265173,0,['The Rolling Stones'],['22bE4uQ6baNwSHPVcDxLCe'],1978-06-09,0.783,0.878,1,-3.864,0,0.0308,0.39,0.000778,0.0426,0.885,100.626,4,1978,1970
5IMtdHjJ1OtkxbGe4zfUxQ,Escape (The Pina Colada Song),75,276493,0,['Rupert Holmes'],['0TqIPD4IS1w4e30R38B3vj'],1979-01-01,0.836,0.509,0,-13.668,1,0.0548,0.467,4.1e-06,0.0436,0.949,138.714,4,1979,1970
1GcVa4jFySlun4jLSuMhiq,Angie,75,272000,0,['The Rolling Stones'],['22bE4uQ6baNwSHPVcDxLCe'],1973-08-31,0.429,0.554,9,-6.128,0,0.0291,0.67,0.000152,0.105,0.407,136.302,4,1973,1970
1QFh8OH1e78dGd3VyJZCAC,Boys Don't Cry,75,155973,0,['The Cure'],['7bu3H8JO7d0UbMoVzbo70s'],1979-05-11,0.462,0.836,11,-5.766,0,0.0621,0.00517,0.0,0.18,0.671,168.766,4,1979,1970
4zn0kScuV9Oj28d4g9CQQs,Jamming,75,211000,0,['Bob Marley & The Wailers'],['2QsynagSdAqZj3U9HgDzjD'],1977-01-03,0.934,0.467,11,-10.99,0,0.307,0.102,3.98e-05,0.109,0.73,123.583,4,1977,1970
4KfSdst7rW39C0sfhArdrz,Barracuda,75,261933,0,['Heart'],['34jw2BbxjoYalTp8cJFCPv'],1977-05-14,0.547,0.691,4,-13.553,0,0.0369,0.015,0.105,0.144,0.667,137.148,4,1977,1970
4xh7W7tlNMIczFhupCPniY,Go Your Own Way - 2004 Remaster,75,223613,0,['Fleetwood Mac'],['08GQAI4eElDnROBrJRGE0X'],1977-02-04,0.586,0.941,5,-5.139,1,0.0375,0.0167,0.000776,0.068,0.831,135.448,4,1977,1970
6ztstiyZL6FXzh4aG46ZPD,Boogie Wonderland,75,288293,0,"['Earth, Wind & Fire', 'The Emotions']","['4QQgXkCYTt3BlENzhyNETg', '64CuUOOirKmdAYLQSfaOyr']",1979-06,0.802,0.756,2,-10.791,0,0.0349,0.0843,0.00765,0.0521,0.963,131.715,4,1979,1970
7oOOI85fVQvVnK5ynNMdW7,Rock with You - Single Version,75,220627,0,['Michael Jackson'],['3fMbdgg4jU18AjLCKBhRSm'],1979-08-10,0.808,0.535,1,-12.521,1,0.0353,0.179,9.91e-05,0.158,0.848,114.031,4,1979,1970
476V2d6iA2tWXgQboKmTtA,Father And Son,75,221120,0,['Yusuf / Cat Stevens'],['08F3Y3SctIlsOEmKd6dnH8'],1970-11-23,0.495,0.326,7,-12.29,1,0.0365,0.541,8.85e-05,0.0996,0.371,136.243,4,1970,1970
5Wj1rJnCLpMHdLaxsFtJLs,Bennie And The Jets - Remastered 2014,75,322549,0,['Elton John'],['3PhoLpVuITZKcymswpck5b'],1973-10-05,0.665,0.673,0,-7.95,1,0.0493,0.259,7.62e-06,0.497,0.779,132.642,4,1973,1970
5MMnwYs0hIxkENRsbkWJ2G,Smoke On The Water - Remastered 2012,75,340742,0,['Deep Purple'],['568ZhdwyaiCyOGJRtNYhWf'],1972-03-25,0.598,0.676,0,-9.211,1,0.0279,0.13,0.225,0.112,0.805,114.169,4,1972,1970
2kkvB3RNRzwjFdGhaUA0tz,Layla,75,423840,0,['Derek & The Dominos'],['2rc78XDH9zuJP6bm78lU8Z'],1970-11-01,0.404,0.902,1,-3.88,1,0.0665,0.577,0.297,0.287,0.497,115.669,4,1970,1970
6QhXQOpyYvbpdbyjgAqKdY,Cecilia,75,174827,0,['Simon & Garfunkel'],['70cRZdQywnSFp9pnc2WTCE'],1970-01-26,0.755,0.876,0,-8.867,1,0.0362,0.357,5.17e-06,0.22,0.954,102.762,4,1970,1970
1Q1b8eVkUPGlpSArl8JAVw,Heart of Gold - 2009 Remaster,75,187013,0,['Neil Young'],['6v8FB84lnmJs434UJf2Mrm'],1972-02-14,0.541,0.459,4,-10.433,0,0.0297,0.189,0.0274,0.099,0.803,171.165,4,1972,1970
0qRR9d89hIS0MHRkQ0ejxX,Rich Girl,74,142787,0,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],1976-08-01,0.573,0.683,5,-6.644,1,0.176,0.461,0.0,0.0935,0.817,169.519,4,1976,1970
4IRHwIZHzlHT1FQpRa5RdE,Goodbye Yellow Brick Road - Remastered 2014,74,192827,0,['Elton John'],['3PhoLpVuITZKcymswpck5b'],1973-10-05,0.559,0.473,5,-7.712,1,0.0279,0.446,0.00141,0.154,0.397,121.227,4,1973,1970
6HSXNV0b4M4cLJ7ljgVVeh,Knockin' On Heaven's Door,74,149880,0,['Bob Dylan'],['74ASZWbe4lXaubB36ztrGX'],1973-07-13,0.513,0.396,7,-13.061,1,0.0299,0.251,0.177,0.11,0.229,140.208,4,1973,1970
0pQskrTITgmCMyr85tb9qq,Starman - 2012 Remaster,74,254293,0,['David Bowie'],['0oSGxfWSnnOXhD2fKuz2Gy'],1972-06-06,0.486,0.449,5,-10.298,1,0.0267,0.166,2.23e-06,0.54,0.549,100.456,4,1972,1970
5EWPGh7jbTNO2wakv8LjUI,Free Bird,74,547107,0,['Lynyrd Skynyrd'],['4MVyzYMgTwdP7Z49wAZHx0'],1973-01-01,0.249,0.834,0,-8.21,1,0.0577,0.0738,9.48e-05,0.0924,0.338,118.223,4,1973,1970
2SpEHTbUuebeLkgs9QB7Ue,Jolene,74,161533,0,['Dolly Parton'],['32vWCbZh0xZ4o9gkz4PsEU'],1974-02-04,0.674,0.537,1,-10.971,0,0.0363,0.566,0.0,0.131,0.809,110.578,4,1974,1970
2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,86,225280,0,['a-ha'],['2jzc5TC5TVFLXQlBNiIUzE'],1985-06-01,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,4,1985,1980
5ChkMS8OtdzJeqyybCc9R5,Billie Jean,85,293827,0,['Michael Jackson'],['3fMbdgg4jU18AjLCKBhRSm'],1982-11-30,0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0158,0.0359,0.847,117.046,4,1982,1980
